date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:15:26	132769/132769	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2015:08:58%20GMT	https://canvastemplate.com/index-classic.html	canvastemplate.com/index-classic.html	(from )
10:15:27	10006/10006	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Sun,%2026%20Jan%202025%2009:15:27%20GMT	https://canvastemplate.com/robots.txt		(from )
10:15:28	629972/629972	---MCZ	200	added ('OK')	text/css	etag:W/%226570701b-99cd4%22	https://canvastemplate.com/style.css	canvastemplate.com/style.css	(from https://canvastemplate.com/index-classic.html)
10:15:29	3541/3541	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6f8c3-dd5%22	https://canvastemplate.com/css/font-icons.css	canvastemplate.com/css/font-icons.css	(from https://canvastemplate.com/index-classic.html)
10:15:29	18436/18436	---MCZ	200	added ('OK')	text/css	etag:W/%226564ab5d-4804%22	https://canvastemplate.com/css/swiper.css	canvastemplate.com/css/swiper.css	(from https://canvastemplate.com/index-classic.html)
10:15:30	274/274	---MCZ	200	added ('OK')	text/css	etag:W/%2264f6f8c0-112%22	https://canvastemplate.com/css/custom.css	canvastemplate.com/css/custom.css	(from https://canvastemplate.com/index-classic.html)
10:15:32	228483/228483	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Oct%202024%2015:58:37%20GMT	https://canvastemplate.com/index.html	canvastemplate.com/index.html	(from https://canvastemplate.com/index-classic.html)
10:15:32	1571/1571	---M--	200	added ('OK')	image/png	etag:%226408669d-623%22	https://canvastemplate.com/images/logo@2x.png	canvastemplate.com/images/logo@2x.png	(from https://canvastemplate.com/index-classic.html)
10:15:33	1571/1571	---M--	200	added ('OK')	image/png	etag:%226408669d-623%22	https://canvastemplate.com/images/logo-dark@2x.png	canvastemplate.com/images/logo-dark@2x.png	(from https://canvastemplate.com/index-classic.html)
10:15:34	854/854	---M--	200	added ('OK')	image/jpeg	etag:%226408669d-356%22	https://canvastemplate.com/images/shop/small/1.jpg	canvastemplate.com/images/shop/small/1.jpg	(from https://canvastemplate.com/index-classic.html)
10:15:35	852/852	---M--	200	added ('OK')	image/jpeg	etag:%226408669d-354%22	https://canvastemplate.com/images/shop/small/6.jpg	canvastemplate.com/images/shop/small/6.jpg	(from https://canvastemplate.com/index-classic.html)
10:15:37	148364/148364	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202023%2011:48:12%20GMT	https://canvastemplate.com/niche-demos.html	canvastemplate.com/niche-demos.html	(from https://canvastemplate.com/index-classic.html)
10:15:38	119529/119529	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2018:40:06%20GMT	https://canvastemplate.com/onepage-demos.html	canvastemplate.com/onepage-demos.html	(from https://canvastemplate.com/index-classic.html)
10:15:39	240081/240081	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Sep%202023%2011:03:25%20GMT	https://canvastemplate.com/blocks.html	canvastemplate.com/blocks.html	(from https://canvastemplate.com/index-classic.html)
10:15:40	144655/144655	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2015:09:15%20GMT	https://canvastemplate.com/index-corporate.html	canvastemplate.com/index-corporate.html	(from https://canvastemplate.com/index-classic.html)
10:15:41	91488/91488	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2015:08:56%20GMT	https://canvastemplate.com/index-corporate-2.html	canvastemplate.com/index-corporate-2.html	(from https://canvastemplate.com/index-classic.html)
